,datePublished,ticker,title,description,date
0,2020-06-30T04:12:07Z,,FDA Approves Breast Cancer Treatment That Health Care Professionals Can Give at Home - The Epoch Times,"The Food and Drug Administration (FDA) approved Phesgo, a breast cancer treatment that can be administered at home by health care professionals, on June 29.",2020-06-29
1,2020-06-30T03:47:03Z,,China says its factory activity expanded in June - CNBC,China on Tuesday said manufacturing activity expanded in June with the official Purchasing Manager's Index coming in at 50.9.,2020-06-29
2,2020-06-30T03:32:49Z,,"Pa. Licensed Beverage and Tavern Association sends letter to Allegheny County officials following ﻿ban of alcohol consumption at bars, restaurants - WTAE Pittsburgh","On Sunday, county leaders announced they will ban alcohol consumption at bars and restaurants in the county starting at 5 p.m. on Tuesday.",2020-06-29
3,2020-06-30T03:24:56Z,,"After losing Grubhub, Uber reportedly hails Postmates - TechCrunch","Uber has reportedly made an offer to buy food delivery service Postmates, according to The New York Times. According to the Times, the talks are still ongoing and the deal could fall through. For those that have been paying attention to Uber, this appetite is…",2020-06-29
4,2020-06-30T02:32:44Z,,UPDATE: AT&T to sell landmark CNN Center in downtown Atlanta - Atlanta Journal Constitution,"AT&T to sell CNN Center in downtown Atlanta, move CNN employees to nearby Techwood.",2020-06-29
5,2020-06-30T01:41:00Z,,Micron shows how the cloud is saving chip makers - MarketWatch,"Growth in data centers has helped sector stay resilient through pandemic, and Micron sees ‘healthy demand’ for second half",2020-06-29
6,2020-06-30T01:32:00Z,,2 Little Caesars employees fired after Ohio couple finds pepperoni swastika on pizza - KTLA,"An Ohio couple say they were shocked and disappointed when they opened their ready-made pizza to see pepperonis arranged in the shape of a reverse swastika Saturday. “Things like this are keeping hate alive in this world,” Jason Laska told CNN. “We all need t…",2020-06-29
7,2020-06-30T01:22:34Z,,"Microsoft, Ford, Pepsi Join Facebook, Instagram Ad Boycott - Hollywood Reporter",Almost 250 companies have signed up to the #StopHateForProfit campaign that is pushing for the social media giant to tackle hate speech and misinformation on its platforms.,2020-06-29
8,2020-06-30T00:34:47Z,,U.S. airlines band together to require passengers to complete health assessments - CNBC Television,"CNBC's Phil LeBeau reports on the latest measures from major U.S airline carriers to combat the coronavirus pandemic, and to assuage anxiety among passengers...",2020-06-29
9,2020-06-30T00:19:11Z,,Las Vegas Workers Sue Casinos Over Covid-19 Safety - The Wall Street Journal,"Owners of Harrah’s, MGM Grand didn’t adequately protect employees from getting sick, lawsuit says",2020-06-29
10,2020-06-30T00:17:44Z,,One coronavirus benefit ends earlier in July than expected. Here's everything that goes away - CNET,The CARES Act benefits that helped many Americans with economic hardships are set to expire this month.,2020-06-29
11,2020-06-30T00:17:22Z,,"Dow Jones Futures: Boeing, Apple, Tesla Lead Coronavirus Stock Market Rally; Lululemon, Micron, In Focus Late - Investor's Business Daily","Dow Jones futures: The coronavirus stock market rally rebounded Monday, led by Boeing, Apple and Tesla. Lululemon and Micron rose late on news.",2020-06-29
12,2020-06-29T23:59:11Z,,Lululemon buys interactive home gym startup Mirror for $500 million - Engadget,Lululemon is dipping into home workout tech by acquiring Mirror for $500 million.,2020-06-29
