,datePublished,ticker,title,description,date
0,2020-06-30T22:31:56Z,,Hampton Inn employee fired for calling cops on black guests - Daily Mail,The woman's termination from the Williamston Hampton Inn came after video of the her confrontation with the family went viral.,2020-06-30
1,2020-06-30T22:13:29Z,,"Dallas County Posts Worst Day Yet With 601 New COVID-19 Cases, 20 Deaths - NBC 5 Dallas-Fort Worth","Dallas County is reporting a record 601 new COVID-19 cases Tuesday along with 20 deaths and more hospitalizations, according to Dallas County Judge Clay…",2020-06-30
2,2020-06-30T22:06:56Z,,MTA Rolls Out PPE Vending Machines In NYC Subway System - CBS New York,"Initiallly, there will be a dozen vending machines deployed to 10 subway stations.",2020-06-30
3,2020-06-30T21:57:38Z,,FedEx stock rallies 9% as online shopping sprees boost company’s quarterly results - MarketWatch,"‘Herculean’ effort by logistics company, CEO Smith says",2020-06-30
4,2020-06-30T21:52:38Z,,Facebook boycott: Clorox pull ads through to end of the year - Daily Mail,"The cleaning good giant announced that it will be suspending all advertisement on the social media site through the end of the year, following suit with the likes of Starbucks and Adidas.",2020-06-30
5,2020-06-30T21:13:52Z,,"Taco Bell offers free Chalupa Cravings Box through the app, but users face tech issues - MSN Money","As Taco Bell tries to boost its mobile apps subscriptions, fans can grab a free Chalupa Cravings Box by downloading the app and ordering ahead.",2020-06-30
6,2020-06-30T21:04:38Z,,Tesla shareholders urged to oust Elon Musk over $55bn pay deal - The Guardian,Shareholders adviser Pirc says Musk’s pay and Twitter outbursts pose ‘serious risk of reputation harm to the company’,2020-06-30
7,2020-06-30T20:59:26Z,,Companies Hit by Covid-19 Want Insurance Payouts. Insurers Say No. - The Wall Street Journal,"A battle looms over ‘business interruption’ coverage, which insurers say doesn’t apply unless there is physical damage, like from a fire.",2020-06-30
8,2020-06-30T20:43:07Z,,Netflix is investing $100 million in Black-owned banks - CNN,Netflix became the latest corporation yet to invest major resources in Black-owned banks on Monday in an effort to help close the persistent and growing racial wealth gap between Black and White America.,2020-06-30
9,2020-06-30T20:43:00Z,,3 charts reveal why Lululemon just dropped $500 million to buy Mirror - Yahoo Finance,"Maybe Lululemon didn't overpay for Mirror, judging by the data.",2020-06-30
10,2020-06-30T20:42:44Z,,Stock-market strategists have never been more confused in June about the year-end outlook for equities—by this measure - MarketWatch,,2020-06-30
11,2020-06-30T20:27:03Z,,CDC expresses 'substantial disappointment' with American Airlines for resuming full flights amid coronavirus - CNBC,"A top CDC official expressed ""substantial disappointment"" with American Airlines for announcing that it will resume full flights starting Wednesday.",2020-06-30
12,2020-06-30T20:17:35Z,,TSA casts doubts on effectiveness of passenger temperature checks at airports - CNBC,The TSA doesn't have any immediate plans to screen travelers' temperatures but pressure is mounting on passengers to wear masks in airports.,2020-06-30
13,2020-06-30T20:13:06Z,,Small businesses leave $130 billion in emergency relief untouched -- and ask Congress to rethink the aid - CNN,Jessica and Richard Fierro are among more than 4.5 million small business owners who tapped into the $660 billion Paycheck Protection Program -- the massive federal effort to keep the backbone of the US economy afloat amid the coronavirus-driven recession.,2020-06-30
14,2020-06-30T20:04:48Z,,Fed’s Powell warns lawmakers not to become complacent in dealing with coronavirus - The Washington Post,"“While this bounceback in economic activity is welcome, it also presents new challenges — notably, the need to keep the virus in check,"" Powell said.",2020-06-30
15,2020-06-30T20:03:59Z,,Trump says masks are a 'double-edged sword.' Goldman Sachs says they could help save the economy - CNN,"Wearing a face mask during the pandemic saves lives. And it may save the economy, too, according to Goldman Sachs.",2020-06-30
16,2020-06-30T19:48:56Z,,"Cirque du Soleil targets 'beginning of 2021' for shows to return from virus closures, CEO says - CNBC","""With the social distancing, if we could operate with 50% of our capacity, we would start making a little bit of profit,"" Cirque du Soleil CEO Daniel Lamarre told CNBC.",2020-06-30
17,2020-06-30T19:41:00Z,,"An Uber deal for Postmates has 'sound industrial logic' but might not help pricing dynamics, analyst says - MarketWatch",,2020-06-30
18,2020-06-30T19:31:46Z,,Microsoft offers free digital-skills training amid COVID-19 jobs crisis - CNET,A new effort looks to help unemployed workers gain needed skills for in-demand digital positions.,2020-06-30
19,2020-06-30T19:04:00Z,,"Gold Climbs Above $1,800 for the First Time Since 2011 - Yahoo Finance","(Bloomberg) -- Gold futures rose above $1,800 an ounce for the first time in more than eight years as low interest rates and a resurgence in coronavirus cases drive demand for the metal as a haven.Bullion for August delivery rose as much as 1.3% to $1,804 an …",2020-06-30
20,2020-06-30T22:31:56Z,q=S&P 500&,Hampton Inn employee fired for calling cops on black guests - Daily Mail,The woman's termination from the Williamston Hampton Inn came after video of the her confrontation with the family went viral.,2020-06-30
21,2020-06-30T22:13:29Z,q=S&P 500&,"Dallas County Posts Worst Day Yet With 601 New COVID-19 Cases, 20 Deaths - NBC 5 Dallas-Fort Worth","Dallas County is reporting a record 601 new COVID-19 cases Tuesday along with 20 deaths and more hospitalizations, according to Dallas County Judge Clay…",2020-06-30
22,2020-06-30T22:06:56Z,q=S&P 500&,MTA Rolls Out PPE Vending Machines In NYC Subway System - CBS New York,"Initiallly, there will be a dozen vending machines deployed to 10 subway stations.",2020-06-30
23,2020-06-30T21:57:38Z,q=S&P 500&,FedEx stock rallies 9% as online shopping sprees boost company’s quarterly results - MarketWatch,"‘Herculean’ effort by logistics company, CEO Smith says",2020-06-30
24,2020-06-30T21:52:38Z,q=S&P 500&,Facebook boycott: Clorox pull ads through to end of the year - Daily Mail,"The cleaning good giant announced that it will be suspending all advertisement on the social media site through the end of the year, following suit with the likes of Starbucks and Adidas.",2020-06-30
25,2020-06-30T21:13:52Z,q=S&P 500&,"Taco Bell offers free Chalupa Cravings Box through the app, but users face tech issues - MSN Money","As Taco Bell tries to boost its mobile apps subscriptions, fans can grab a free Chalupa Cravings Box by downloading the app and ordering ahead.",2020-06-30
26,2020-06-30T21:04:38Z,q=S&P 500&,Tesla shareholders urged to oust Elon Musk over $55bn pay deal - The Guardian,Shareholders adviser Pirc says Musk’s pay and Twitter outbursts pose ‘serious risk of reputation harm to the company’,2020-06-30
27,2020-06-30T20:59:26Z,q=S&P 500&,Companies Hit by Covid-19 Want Insurance Payouts. Insurers Say No. - The Wall Street Journal,"A battle looms over ‘business interruption’ coverage, which insurers say doesn’t apply unless there is physical damage, like from a fire.",2020-06-30
28,2020-06-30T20:43:07Z,q=S&P 500&,Netflix is investing $100 million in Black-owned banks - CNN,Netflix became the latest corporation yet to invest major resources in Black-owned banks on Monday in an effort to help close the persistent and growing racial wealth gap between Black and White America.,2020-06-30
29,2020-06-30T20:43:00Z,q=S&P 500&,3 charts reveal why Lululemon just dropped $500 million to buy Mirror - Yahoo Finance,"Maybe Lululemon didn't overpay for Mirror, judging by the data.",2020-06-30
30,2020-06-30T20:42:44Z,q=S&P 500&,Stock-market strategists have never been more confused in June about the year-end outlook for equities—by this measure - MarketWatch,,2020-06-30
31,2020-06-30T20:27:03Z,q=S&P 500&,CDC expresses 'substantial disappointment' with American Airlines for resuming full flights amid coronavirus - CNBC,"A top CDC official expressed ""substantial disappointment"" with American Airlines for announcing that it will resume full flights starting Wednesday.",2020-06-30
32,2020-06-30T20:17:35Z,q=S&P 500&,TSA casts doubts on effectiveness of passenger temperature checks at airports - CNBC,The TSA doesn't have any immediate plans to screen travelers' temperatures but pressure is mounting on passengers to wear masks in airports.,2020-06-30
33,2020-06-30T20:13:06Z,q=S&P 500&,Small businesses leave $130 billion in emergency relief untouched -- and ask Congress to rethink the aid - CNN,Jessica and Richard Fierro are among more than 4.5 million small business owners who tapped into the $660 billion Paycheck Protection Program -- the massive federal effort to keep the backbone of the US economy afloat amid the coronavirus-driven recession.,2020-06-30
34,2020-06-30T20:04:48Z,q=S&P 500&,Fed’s Powell warns lawmakers not to become complacent in dealing with coronavirus - The Washington Post,"“While this bounceback in economic activity is welcome, it also presents new challenges — notably, the need to keep the virus in check,"" Powell said.",2020-06-30
35,2020-06-30T20:03:59Z,q=S&P 500&,Trump says masks are a 'double-edged sword.' Goldman Sachs says they could help save the economy - CNN,"Wearing a face mask during the pandemic saves lives. And it may save the economy, too, according to Goldman Sachs.",2020-06-30
36,2020-06-30T19:48:56Z,q=S&P 500&,"Cirque du Soleil targets 'beginning of 2021' for shows to return from virus closures, CEO says - CNBC","""With the social distancing, if we could operate with 50% of our capacity, we would start making a little bit of profit,"" Cirque du Soleil CEO Daniel Lamarre told CNBC.",2020-06-30
37,2020-06-30T19:41:00Z,q=S&P 500&,"An Uber deal for Postmates has 'sound industrial logic' but might not help pricing dynamics, analyst says - MarketWatch",,2020-06-30
38,2020-06-30T19:31:46Z,q=S&P 500&,Microsoft offers free digital-skills training amid COVID-19 jobs crisis - CNET,A new effort looks to help unemployed workers gain needed skills for in-demand digital positions.,2020-06-30
39,2020-06-30T19:04:00Z,q=S&P 500&,"Gold Climbs Above $1,800 for the First Time Since 2011 - Yahoo Finance","(Bloomberg) -- Gold futures rose above $1,800 an ounce for the first time in more than eight years as low interest rates and a resurgence in coronavirus cases drive demand for the metal as a haven.Bullion for August delivery rose as much as 1.3% to $1,804 an …",2020-06-30
