Date,Open,High,Low,Close,Adj Close,Volume
2020-05-04,175.000000,176.309998,171.720001,176.029999,174.936478,2990100
2020-05-05,179.100006,182.600006,178.139999,178.300003,177.192383,3272600
2020-05-06,179.679993,181.199997,175.210007,176.919998,175.820953,2408700
2020-05-07,179.179993,183.380005,179.179993,182.320007,181.187408,2480100
2020-05-08,185.029999,185.910004,182.740005,185.389999,184.238342,2282600
2020-05-11,182.539993,184.850006,181.259995,183.160004,182.022186,2212200
2020-05-12,183.889999,184.300003,176.750000,177.210007,176.109161,3549200
2020-05-13,175.660004,176.880005,170.759995,171.800003,170.732758,3445300
2020-05-14,169.039993,174.779999,165.360001,174.449997,173.366287,4176700
2020-05-15,173.479996,174.089996,170.580002,171.869995,170.802322,2867800
2020-05-18,177.710007,183.100006,175.240005,181.880005,180.750153,4512600
2020-05-19,180.559998,182.190002,177.720001,177.830002,176.725296,2210500
2020-05-20,180.949997,183.830002,180.300003,181.440002,180.312881,2599900
2020-05-21,180.199997,181.169998,177.679993,180.100006,178.981201,2153500
2020-05-22,180.029999,180.639999,178.059998,179.929993,178.812241,2176400
2020-05-26,185.630005,197.100006,185.220001,196.059998,194.842056,5971200
2020-05-27,203.000000,210.710007,200.009995,209.660004,208.357574,8182100
2020-05-28,210.839996,211.309998,201.210007,201.220001,199.970001,4886100
2020-05-29,197.229996,200.919998,194.649994,196.490005,196.490005,3824500
2020-06-01,197.309998,201.770004,195.119995,199.929993,199.929993,2230800
2020-06-02,203.770004,206.500000,201.320007,204.139999,204.139999,4128700
2020-06-03,208.490005,211.929993,206.429993,210.570007,210.570007,3471900
2020-06-04,208.789993,214.990005,207.960007,214.820007,214.820007,3522300
2020-06-05,222.000000,222.979996,217.660004,217.919998,217.919998,4737600
2020-06-08,220.020004,222.259995,218.240005,220.809998,220.809998,3260300
2020-06-09,215.740005,220.020004,215.160004,218.100006,218.100006,2478400
2020-06-10,217.389999,219.850006,212.800003,213.520004,213.520004,3091200
2020-06-11,204.699997,206.899994,194.020004,194.130005,194.130005,4923400
2020-06-12,200.619995,202.940002,196.210007,201.779999,201.779999,3379400
2020-06-15,195.729996,206.990005,195.149994,206.309998,206.309998,3467400
2020-06-16,214.979996,214.979996,203.729996,209.589996,209.589996,3099100
2020-06-17,210.000000,210.789993,205.440002,206.190002,206.190002,1795600
2020-06-18,203.990005,207.259995,202.669998,203.839996,203.839996,2051700
2020-06-19,207.050003,207.419998,200.970001,201.630005,201.630005,4962400
2020-06-22,200.990005,204.580002,200.000000,203.419998,203.419998,1806900
2020-06-23,206.500000,207.509995,203.639999,204.779999,204.779999,2451800
2020-06-24,202.339996,202.610001,197.380005,198.020004,198.020004,2756700
2020-06-25,197.860001,207.389999,197.610001,207.100006,207.100006,3466500
2020-06-26,199.000000,200.240005,188.509995,189.190002,189.190002,9530700
2020-06-29,191.380005,193.899994,188.660004,193.470001,193.470001,3736000
2020-06-30,193.839996,198.410004,193.619995,197.619995,197.619995,3102800
2020-07-01,198.880005,199.740005,195.520004,197.570007,197.570007,2593415
2020-07-06,201.34,207.79,201.13,207.36,207.36,3565300
2020-07-06,201.34,207.79,201.13,207.36,207.36,3565300
2020-07-06,201.34,207.79,201.13,207.36,207.36,3565300
2020-07-06,201.34,207.79,201.13,207.36,207.36,3565300
2020-07-06,201.34,207.79,201.13,207.36,207.36,3565300
2020-07-06,201.34,207.79,201.13,207.36,207.36,3565300
2020-07-06,201.34,207.79,201.13,207.36,207.36,3565300
2020-07-06,201.34,207.79,201.13,207.36,207.36,3565300
2020-07-06,201.34,207.79,201.13,207.36,207.36,3565300
2020-07-06,201.34,207.79,201.13,207.36,207.36,3565300
2020-07-07,201.34,207.79,201.13,207.36,207.36,3565300
2020-07-07,201.34,207.79,201.13,207.36,207.36,3565300
2020-07-07,201.34,207.79,201.13,207.36,207.36,3565300
2020-07-07,205.50,205.71,199.22,199.28,199.28,2179702
2020-07-07,205.50,205.71,199.22,199.34,199.34,2196629
2020-07-07,205.50,205.71,199.22,199.29,199.29,2201837
2020-07-07,205.50,205.71,199.22,199.48,199.48,2206257
2020-07-07,205.50,205.71,199.22,199.42,199.42,2210701
2020-07-07,205.50,205.71,199.22,199.57,199.57,2243059
2020-07-07,205.50,205.71,199.22,199.36,199.36,2259454
